Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,484/301,251/135,63/48,148/98,22/15,0/5
2024,11/9,7/3,-,2/4,2/2,-
2023,17/26,5/8,6/10,2/4,4/3,0/1
2022,28/32,9/7,7/9,5/9,7/3,0/4
2021,55/20,24/12,14/3,13/4,4/1,-
2020,38/16,31/8,1/2,6/6,-,-
2019,41/38,15/14,10/6,15/15,1/3,-
2018,39/42,17/19,9/8,9/13,4/2,-
2017,69/25,39/17,-,30/7,0/1,-
2016,46/19,24/9,9/6,13/4,-,-
2015,50/18,37/11,-,13/7,-,-
2014,14/14,13/10,-,1/4,-,-
2013,36/17,16/6,1/2,19/9,-,-
2012,24/10,6/2,6/2,12/6,-,-
2011,10/9,3/4,-,7/5,-,-
2010,6/6,5/5,-,1/1,-,-
