Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,589/438,435/279,114/96,22/42,2/3,16/18
2024,30/24,25/19,3/2,-,-,2/3
2023,31/28,17/18,7/3,3/5,-,4/2
2022,21/32,16/19,3/7,2/5,0/1,-
2021,36/28,32/15,3/8,0/4,1/1,-
2020,24/19,12/10,8/7,1/1,-,3/1
2019,30/31,23/18,3/5,2/4,1/1,1/3
2018,43/30,27/19,16/4,0/4,-,0/3
2017,47/23,41/15,3/4,1/3,-,2/1
2016,41/26,35/20,3/2,1/3,-,2/1
2015,57/33,53/27,2/3,0/1,-,2/2
2014,41/35,36/23,5/11,0/1,-,-
2013,38/16,32/10,3/5,3/1,-,-
2012,30/23,20/14,8/7,2/2,-,-
2011,50/34,32/22,16/10,2/2,-,-
2010,14/14,5/7,7/5,2/2,-,-
2009,24/23,14/13,7/7,3/3,-,-
2008,21/11,13/7,8/2,-,-,0/2
2007,4/5,2/3,2/1,0/1,-,-
2006,7/3,-,7/3,-,-,-
