Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,638/429,350/230,178/94,96/80,4/12,10/13
2024,25/29,16/18,8/10,-,0/1,1/0
2023,54/29,17/6,28/18,8/4,-,1/1
2022,20/32,7/10,9/9,2/7,1/3,1/3
2021,31/29,8/12,17/12,5/4,1/1,-
2020,22/15,1/3,18/5,2/5,-,1/2
2019,38/28,8/13,11/4,17/8,1/1,1/2
2018,73/37,50/23,8/4,14/8,-,1/2
2017,36/36,33/24,0/3,2/5,0/3,1/1
2016,65/28,47/13,3/2,13/10,1/3,1/0
2015,72/22,25/11,42/8,5/3,-,-
2014,43/29,32/20,4/2,5/6,-,2/1
2013,44/33,30/22,8/4,6/7,-,-
2012,27/22,20/16,1/2,6/3,-,0/1
2011,49/29,24/13,16/9,9/7,-,-
2010,27/17,20/13,5/2,2/2,-,-
2009,9/9,9/8,-,0/1,-,-
2008,3/5,3/5,-,-,-,-
