Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/47,48/40,10/3,-,-,8/4
2024,26/20,23/18,-,-,-,3/2
2023,29/19,14/14,10/3,-,-,5/2
2022,10/7,10/7,-,-,-,-
2021,1/1,1/1,-,-,-,-
