Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,429/295,251/152,128/91,40/35,0/3,10/14
2024,2/7,-,1/3,0/1,-,1/3
2023,8/19,3/4,3/7,2/3,-,0/5
2022,11/18,3/3,2/6,6/4,0/2,0/3
2021,15/24,9/12,3/4,3/7,0/1,-
2020,12/7,1/4,6/1,2/2,-,3/0
2019,36/26,17/11,11/9,8/6,-,-
2018,33/33,19/20,11/12,3/1,-,-
2017,58/25,40/14,16/9,-,-,2/2
2016,28/25,24/19,0/5,-,-,4/1
2015,46/18,16/7,24/9,6/2,-,-
2014,23/14,22/11,0/1,1/2,-,-
2013,31/16,15/6,16/10,-,-,-
2012,30/19,10/11,19/7,1/1,-,-
2011,52/24,45/18,4/4,3/2,-,-
2010,21/7,17/6,4/1,-,-,-
2009,11/6,5/3,4/1,2/2,-,-
2008,11/6,4/2,4/2,3/2,-,-
2007,1/1,1/1,-,-,-,-
