Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,171/109,106/64,57/32,1/4,-,7/9
2024,21/12,10/4,7/6,1/1,-,3/1
2023,1/3,-,-,-,-,1/3
2016,31/23,22/14,6/8,-,-,3/1
2015,18/10,-,18/10,-,-,-
2014,24/9,7/4,17/5,-,-,-
2013,9/2,-,9/2,-,-,-
2012,3/1,3/1,-,-,-,-
2011,7/4,7/4,-,-,-,-
2010,20/19,20/12,0/1,0/2,-,0/4
2009,20/14,20/13,-,0/1,-,-
2008,13/7,13/7,-,-,-,-
2007,4/5,4/5,-,-,-,-
