Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,290/181,186/112,66/56,-,-,38/13
2024,43/22,29/10,14/12,-,-,-
2023,33/26,13/9,12/10,-,-,8/7
2022,69/23,28/9,11/8,-,-,30/6
2021,69/45,55/36,14/9,-,-,-
2020,14/10,8/7,6/3,-,-,-
2019,31/24,29/21,2/3,-,-,-
2018,6/8,4/6,2/2,-,-,-
2017,19/18,17/12,2/6,-,-,-
2016,6/5,3/2,3/3,-,-,-
