Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,159/99,32/25,104/58,10/12,-,13/4
2024,28/20,7/7,20/11,0/1,-,1/1
2023,14/15,1/2,5/6,8/6,-,0/1
2022,50/26,17/10,19/9,2/5,-,12/2
2021,34/18,4/5,30/13,-,-,-
2020,14/9,-,14/9,-,-,-
2019,13/7,-,13/7,-,-,-
2018,3/2,3/1,0/1,-,-,-
2017,3/2,-,3/2,-,-,-
