Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,419/316,95/83,202/140,54/47,56/32,12/14
2024,32/19,2/4,27/13,0/2,-,3/0
2023,30/21,2/5,22/9,5/5,0/1,1/1
2022,25/15,2/3,18/8,4/3,-,1/1
2021,27/18,13/7,12/8,2/3,-,-
2020,9/7,9/7,-,-,-,-
2019,7/2,-,7/2,-,-,-
2018,0/1,0/1,-,-,-,-
2017,1/3,-,0/1,0/1,-,1/1
2016,33/22,1/3,11/10,7/3,12/5,2/1
2015,30/22,3/6,6/6,10/6,11/4,-
2014,32/23,11/7,13/8,1/3,7/4,0/1
2013,14/27,1/5,6/13,6/5,1/4,-
2012,18/27,1/4,8/14,0/2,9/4,0/3
2011,36/24,9/5,13/12,4/3,10/4,-
2010,31/23,7/7,14/12,9/3,1/1,-
2009,10/12,4/5,6/6,-,0/1,-
2008,16/20,0/3,16/12,0/1,0/2,0/2
2007,33/18,9/6,15/6,2/3,5/2,2/1
2006,18/7,9/4,8/0,1/2,-,0/1
2005,17/5,12/1,-,3/2,-,2/2
