Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,13/48,5/9,8/39,-,-,-
2024,3/18,3/4,0/14,-,-,-
2023,2/18,2/5,0/13,-,-,-
2022,8/12,-,8/12,-,-,-
