Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,298/266,76/77,179/147,35/25,8/17,-
2024,15/20,6/6,8/8,1/5,0/1,-
2023,27/30,8/12,11/14,8/4,-,-
2022,27/26,2/7,16/13,6/3,3/3,-
2021,21/20,15/11,6/6,0/1,0/2,-
2020,18/29,1/9,12/18,5/2,-,-
2019,21/24,0/1,20/19,1/1,0/3,-
2018,27/30,4/6,13/15,7/5,3/4,-
2017,37/26,5/5,30/16,0/1,2/4,-
2016,37/29,4/11,26/15,7/3,-,-
2015,19/11,3/2,16/9,-,-,-
2014,12/10,3/2,9/8,-,-,-
2013,20/8,8/3,12/5,-,-,-
2012,12/2,12/1,0/1,-,-,-
2011,5/1,5/1,-,-,-,-
