Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/40,8/8,26/23,6/9,-,5/0
2024,7/4,5/2,2/2,-,-,-
2023,6/3,-,0/1,1/2,-,5/0
2022,10/6,1/1,7/4,2/1,-,-
2021,5/6,0/1,5/5,-,-,-
2020,1/1,-,1/1,-,-,-
2019,13/11,1/1,11/8,1/2,-,-
2018,2/7,1/3,0/2,1/2,-,-
2017,1/2,-,-,1/2,-,-
