Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,650/393,503/267,66/57,72/60,8/9,1/0
2024,36/30,29/22,4/5,3/2,0/1,-
2023,49/37,35/24,9/7,5/6,-,-
2022,21/31,6/15,5/8,10/7,0/1,-
2021,35/29,23/15,7/7,4/4,1/3,-
2020,19/14,7/4,9/7,2/3,-,1/0
2019,59/30,42/14,4/3,13/12,0/1,-
2018,43/33,18/15,9/6,12/10,4/2,-
2017,62/23,48/16,4/1,7/5,3/1,-
2016,50/14,44/12,-,6/2,-,-
2015,32/19,27/15,5/4,-,-,-
2014,51/25,47/19,3/3,1/3,-,-
2013,37/21,36/19,0/1,1/1,-,-
2012,32/11,32/11,-,-,-,-
2011,33/12,33/12,-,-,-,-
2010,55/24,55/24,-,-,-,-
2009,31/26,16/17,7/4,8/5,-,-
2008,4/8,4/8,-,-,-,-
2007,1/6,1/5,0/1,-,-,-
