Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/88,13/31,20/47,9/7,-,3/3
2024,11/20,3/6,5/12,3/2,-,-
2023,10/23,3/8,5/11,0/1,-,2/3
2022,7/13,0/3,3/7,4/3,-,-
2021,8/9,3/5,3/3,2/1,-,-
2019,4/9,2/3,1/6,-,-,1/0
2018,3/5,2/2,1/3,-,-,-
2017,1/4,0/2,1/2,-,-,-
2016,1/5,0/2,1/3,-,-,-
