Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,305/202,258/168,36/29,0/3,0/1,11/1
2024,18/19,13/15,5/4,-,-,-
2023,19/14,12/11,2/2,-,-,5/1
2022,2/3,-,2/3,-,-,-
2021,37/21,21/11,10/8,0/1,0/1,6/0
2020,10/6,5/3,5/1,0/2,-,-
2019,36/22,35/21,1/1,-,-,-
2018,39/20,36/17,3/3,-,-,-
2017,29/18,29/18,-,-,-,-
2016,37/20,37/20,-,-,-,-
2015,31/20,29/18,2/2,-,-,-
2014,25/22,23/20,2/2,-,-,-
2013,20/15,16/12,4/3,-,-,-
2012,2/2,2/2,-,-,-,-
