Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,700/425,651/363,38/41,10/19,1/2,-
2024,14/6,12/6,2/0,-,-,-
2023,25/31,22/25,3/6,-,-,-
2022,41/32,41/29,0/2,-,0/1,-
2021,49/23,49/23,-,-,-,-
2020,29/13,24/9,5/4,-,-,-
2019,29/18,27/15,1/3,1/0,-,-
2018,50/26,48/24,-,2/2,-,-
2017,60/32,53/24,1/2,5/5,1/1,-
2016,50/25,47/20,2/2,1/3,-,-
2015,58/27,52/21,6/5,0/1,-,-
2014,50/25,40/19,10/6,-,-,-
2013,30/20,30/17,-,0/3,-,-
2012,41/24,37/20,4/4,-,-,-
2011,49/17,49/17,-,-,-,-
2010,31/20,29/17,1/2,1/1,-,-
2009,16/21,16/21,-,-,-,-
2008,33/23,33/21,0/1,0/1,-,-
2007,30/25,27/19,3/4,0/2,-,-
2006,13/12,13/11,-,0/1,-,-
2005,1/2,1/2,-,-,-,-
2004,1/2,1/2,-,-,-,-
2003,0/1,0/1,-,-,-,-
