Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,688/530,446/271,147/158,46/59,26/33,23/9
2024,25/20,18/12,4/6,-,3/2,-
2023,28/23,23/12,0/8,5/3,-,-
2022,24/26,12/12,10/9,2/4,0/1,-
2021,22/24,7/8,12/12,0/2,3/2,-
2020,6/10,1/4,4/5,0/1,-,1/0
2019,32/27,14/9,12/9,3/5,2/3,1/1
2018,46/24,20/9,18/7,3/4,2/3,3/1
2017,36/24,15/11,12/8,6/3,2/2,1/0
2016,27/23,11/9,9/9,4/3,2/1,1/1
2015,34/34,20/12,7/9,4/9,1/3,2/1
2014,42/31,21/11,12/9,3/5,2/4,4/2
2013,46/27,28/10,9/10,6/4,2/2,1/1
2012,30/28,13/12,8/8,5/5,3/3,1/0
2011,25/30,17/15,3/11,2/4,-,3/0
2010,39/31,26/17,5/9,3/2,3/2,2/1
2009,41/28,31/16,6/7,0/2,1/3,3/0
2008,28/22,23/8,5/9,0/2,0/2,0/1
2007,65/35,55/26,10/8,0/1,-,-
2006,44/29,43/25,1/4,-,-,-
2005,37/21,37/21,-,-,-,-
2004,10/9,10/9,-,-,-,-
2003,1/3,1/3,-,-,-,-
2002,0/1,-,0/1,-,-,-
