Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,108/83,67/50,21/10,20/19,0/4,-
2024,24/21,15/16,6/1,3/3,0/1,-
2023,40/28,27/15,7/4,6/7,0/2,-
2022,25/20,17/11,3/3,5/6,-,-
2021,13/8,4/3,5/2,4/2,0/1,-
2020,3/4,1/3,-,2/1,-,-
2018,3/2,3/2,-,-,-,-
