Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,666/295,135/61,300/153,125/47,76/24,30/10
2023,30/13,0/2,22/10,-,8/1,-
2022,29/19,1/4,16/11,5/2,7/2,-
2021,29/17,8/4,16/10,2/1,3/2,-
2020,26/10,5/2,17/5,2/2,2/1,-
2019,37/16,8/2,25/9,1/4,3/1,-
2018,47/17,13/3,19/10,5/3,6/1,4/0
2017,20/11,1/1,11/8,2/1,6/1,-
2016,46/23,7/4,28/12,8/1,3/3,0/3
2015,40/17,11/3,20/9,4/3,2/1,3/1
2014,49/16,5/4,24/10,7/2,9/0,4/0
2013,51/23,10/5,31/12,3/3,4/2,3/1
2012,51/18,10/4,24/8,5/2,7/3,5/1
2011,62/14,13/2,15/10,17/1,11/1,6/0
2010,25/24,3/4,9/11,7/5,5/2,1/2
2009,23/21,3/5,13/11,4/3,0/1,3/1
2008,39/21,10/5,9/5,19/8,0/2,1/1
2007,42/12,12/5,1/2,29/5,-,-
2006,20/3,15/2,-,5/1,-,-
