Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,92/73,33/26,27/21,12/15,-,20/11
2024,27/9,4/2,17/6,-,-,6/1
2023,7/2,-,-,-,-,7/2
2022,13/19,3/3,3/7,0/1,-,7/8
2021,6/4,-,-,6/4,-,-
2020,3/3,-,-,3/3,-,-
2019,14/17,9/9,3/4,2/4,-,-
2018,18/11,14/8,4/2,0/1,-,-
2017,4/7,3/4,0/2,1/1,-,-
2016,0/1,-,-,0/1,-,-
