Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,343/273,71/99,214/118,58/54,0/2,-
2024,45/25,7/7,38/18,-,-,-
2023,16/28,0/8,14/15,2/4,0/1,-
2022,57/34,14/12,28/16,15/6,-,-
2021,52/28,3/8,47/14,2/5,0/1,-
2020,21/31,3/14,16/12,2/5,-,-
2019,44/31,10/14,27/12,7/5,-,-
2018,28/37,4/12,18/16,6/9,-,-
2017,38/31,7/10,21/11,10/10,-,-
2016,31/18,17/7,1/2,13/9,-,-
2015,8/7,3/4,4/2,1/1,-,-
2014,3/3,3/3,-,-,-,-
