Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
31.07.,Zink T.,2,,,,,,"['4', '5']","['1', '0', '4', '3', '6', '3']",[],[],[],1.30
31.07.,Razeghi A.,1,,,,,,"['3', '1', '7', '5']","['1', '1']",[],[],[],3.30
29.07.,Razeghi A.,2,,,,,,[],"['4', '2', '6', '2']","['4', '4', '6', '4']",[],[],2.50
29.07.,Bigun K.,1,,,,,,"['1', '0', '5', '2']",[],"['4', '3']",[],[],1.51
18.07.,Dickerson R.,2,,,,,,[],[],[],[],[],1.89
18.07.,Razeghi A.,0,,,,,,[],[],[],[],[],1.81
17.07.,Razeghi A.,2,,,,,,[],[],[],[],[],1.23
17.07.,Fahim I. M.,0,,,,,,[],[],[],[],[],3.79
15.07.,Razeghi A.,2,,,,,,[],[],[],[],[],1.43
15.07.,Stice T.,0,,,,,,[],[],[],[],[],2.66
09.07.,Rybakov A.,2,,,,,,"['2', '0']",[],[],[],[],1.19
09.07.,Razeghi A.,0,,,,,,[],[],[],[],[],4.28
03.09.2024,Robertson C.,2,,,,,,"['3', '4']","['2', '2', '5', '3']",[],[],[],-
03.09.2024,Razeghi A.,0,,,,,,"['3', '1']","['1', '0']",[],[],[],-
02.09.2024,Razeghi A.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],-
02.09.2024,Mrva M.,0,,,,,,[],"['2', '5']",[],[],[],-
06.07.2024,Trouve N.,2,,,,,,"['1', '1', '2', '2', '5', '3']","['1', '0']",[],[],[],-
06.07.2024,Razeghi A.,0,,,,,,"['1', '0', '2', '1']",[],[],[],[],-
04.06.2024,Robertson C.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '3', '4']",[],[],[],-
04.06.2024,Razeghi A.,0,,,,,,[],"['2', '2', '4', '2']",[],[],[],-
02.06.2024,Razeghi A.,2,,,,,,"['2', '2', '5', '3']","['2', '1']",[],[],[],-
02.06.2024,Marionneau L.,0,,,,,,"['1', '0']","['2', '2']",[],[],[],-
30.04.2024,Nefve A.,2,,,,,,"['3', '1', '6', '2']","['2', '2', '3', '3', '6', '4']",[],[],[],1.69
