Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,230/156,34/27,138/98,40/18,16/10,2/3
2024,26/22,6/5,13/14,-,5/3,2/0
2023,37/24,2/5,32/17,-,3/2,-
2022,31/27,5/4,7/13,16/7,3/2,0/1
2021,35/24,6/6,10/9,14/6,5/3,-
2020,16/12,2/1,6/6,8/3,-,0/2
2019,38/20,-,36/18,2/2,-,-
2018,25/16,4/1,21/15,-,-,-
2017,15/6,2/2,13/4,-,-,-
2016,7/4,7/3,0/1,-,-,-
2007,0/1,-,0/1,-,-,-
