Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,140/148,55/49,78/98,-,1/1,6/0
2024,6/9,-,6/9,-,-,-
2023,4/20,-,4/20,-,-,-
2022,40/27,2/2,32/25,-,-,6/0
2021,14/15,-,14/15,-,-,-
2020,2/4,2/3,0/1,-,-,-
2019,17/22,7/10,10/12,-,-,-
2018,11/16,8/9,2/6,-,1/1,-
2017,32/23,30/19,2/4,-,-,-
2016,6/6,6/6,-,-,-,-
2015,3/2,-,3/2,-,-,-
2014,5/4,-,5/4,-,-,-
