Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/30,28/11,-,18/18,-,5/1
2024,24/12,15/7,-,9/5,-,-
2023,24/13,13/4,-,6/8,-,5/1
2022,3/3,-,-,3/3,-,-
2021,0/2,-,-,0/2,-,-
