Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,460/397,207/195,123/90,127/104,3/8,-
2024,30/29,15/15,12/10,3/4,-,-
2023,37/34,14/13,12/9,11/11,0/1,-
2022,0/3,-,0/2,0/1,-,-
2021,46/27,23/14,15/6,8/6,0/1,-
2020,16/17,4/6,7/8,5/3,-,-
2019,31/34,15/16,3/6,12/11,1/1,-
2018,28/27,9/11,7/8,12/7,0/1,-
2017,20/22,11/12,6/7,3/2,0/1,-
2016,30/28,8/11,4/4,16/11,2/2,-
2015,34/24,13/10,11/6,10/8,-,-
2014,21/32,7/12,8/11,6/8,0/1,-
2013,55/32,23/18,12/3,20/11,-,-
2012,49/29,23/18,14/4,12/7,-,-
2011,28/25,17/16,7/3,4/6,-,-
2010,18/15,14/11,-,4/4,-,-
2009,10/7,9/5,-,1/2,-,-
2008,6/6,1/3,5/3,-,-,-
2007,1/6,1/4,-,0/2,-,-
