Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/40,51/32,19/8,-,-,-
2024,41/21,41/21,-,-,-,-
2023,20/11,6/6,14/5,-,-,-
2022,9/8,4/5,5/3,-,-,-
