https://www.tennisexplorer.com/res/img/player/KCl1lbfg-6eay9NTb.jpeg
Tkacheva Mariia
Country: Russia
Age: 22 (17. 12. 2001)
Current/Highest rank - singles: 456. / 331.
Current/Highest rank - doubles: 437. / 362.
Sex: woman
Plays: right
