Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,419/298,159/96,170/125,69/52,18/23,3/2
2024,10/13,9/8,1/3,-,0/2,-
2023,18/22,6/7,11/10,0/3,1/2,-
2022,37/28,25/18,8/4,1/2,3/4,-
2021,25/18,10/8,8/5,3/2,4/3,-
2020,4/7,0/1,4/6,-,-,-
2019,29/25,12/3,13/16,3/3,0/1,1/2
2018,23/24,6/6,6/10,11/5,0/3,-
2017,39/27,17/7,19/16,2/3,1/1,-
2016,32/23,12/7,6/10,10/3,4/3,-
2015,42/16,-,31/12,9/4,-,2/0
2014,35/22,12/4,8/8,10/7,5/3,-
2013,30/23,3/8,20/9,7/5,0/1,-
2012,39/15,14/3,16/6,9/6,-,-
2011,17/15,7/5,9/4,1/6,-,-
2010,28/12,15/5,10/6,3/1,-,-
2009,11/7,11/6,-,0/1,-,-
2008,0/1,-,-,0/1,-,-
