Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/27,6/14,11/11,-,-,4/2
2024,9/8,2/4,4/3,-,-,3/1
2023,7/9,3/4,3/4,-,-,1/1
2022,5/10,1/6,4/4,-,-,-
