Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,163/171,108/110,52/56,-,-,3/5
2024,9/11,5/7,1/2,-,-,3/2
2023,4/10,4/7,0/3,-,-,-
2022,18/19,12/12,6/7,-,-,-
2021,24/25,17/14,7/11,-,-,-
2020,2/5,-,2/5,-,-,-
2019,24/17,16/12,8/5,-,-,-
2018,24/15,9/5,15/9,-,-,0/1
2017,7/8,6/6,1/2,-,-,-
2016,7/15,5/12,2/1,-,-,0/2
2015,6/15,4/11,2/4,-,-,-
2014,16/14,9/8,7/6,-,-,-
2013,15/9,14/8,1/1,-,-,-
2012,3/4,3/4,-,-,-,-
2011,4/4,4/4,-,-,-,-
