Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/41,-,44/39,-,1/2,-
2024,17/11,-,16/9,-,1/2,-
2023,18/20,-,18/20,-,-,-
2022,10/10,-,10/10,-,-,-
