Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,55/51,22/25,29/18,0/1,-,4/7
2024,24/19,13/10,11/8,-,-,0/1
2023,20/9,0/2,16/6,-,-,4/1
2022,0/7,0/2,-,-,-,0/5
2021,5/5,5/5,-,-,-,-
2018,1/2,-,1/2,-,-,-
2017,5/7,4/4,1/2,0/1,-,-
2016,0/1,0/1,-,-,-,-
2015,0/1,0/1,-,-,-,-
