Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,655/456,341/186,97/102,173/122,30/37,14/9
2024,27/17,15/5,4/8,1/1,6/2,1/1
2023,45/24,14/7,21/9,5/6,5/2,-
2022,29/22,13/3,3/10,8/4,1/4,4/1
2021,29/30,14/8,8/11,4/6,1/3,2/2
2020,22/22,8/8,10/6,2/7,0/1,2/0
2019,38/33,13/8,11/12,7/8,6/3,1/2
2018,30/28,15/10,7/8,6/6,2/3,0/1
2017,45/38,18/15,13/12,10/6,3/4,1/1
2016,57/31,29/11,2/5,23/12,1/3,2/0
2015,37/35,18/15,4/7,14/9,0/3,1/1
2014,53/32,26/9,9/7,17/12,1/4,-
2013,49/34,18/12,5/5,22/15,4/2,-
2012,54/28,42/22,-,12/5,0/1,-
2011,53/30,34/17,0/2,19/11,-,-
2010,52/32,37/22,-,15/9,0/1,-
2009,29/15,21/10,-,8/4,0/1,-
2008,6/5,6/4,-,0/1,-,-
