Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,187/217,16/24,155/181,16/12,-,-
2023,4/6,-,4/5,0/1,-,-
2022,1/7,-,1/7,-,-,-
2019,13/26,2/6,10/18,1/2,-,-
2018,20/22,1/1,17/19,2/2,-,-
2017,24/26,-,21/24,3/2,-,-
2016,31/30,5/6,23/22,3/2,-,-
2015,19/26,1/3,18/23,-,-,-
2014,26/27,5/6,20/20,1/1,-,-
2013,19/14,2/1,14/12,3/1,-,-
2012,19/20,0/1,16/18,3/1,-,-
2011,11/10,-,11/10,-,-,-
2010,0/3,-,0/3,-,-,-
