Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,363/297,68/74,270/189,12/14,13/20,-
2023,16/14,6/8,10/5,-,0/1,-
2022,26/17,4/4,22/9,0/1,0/3,-
2021,17/18,3/4,11/10,0/2,3/2,-
2020,12/8,1/1,11/7,-,-,-
2019,29/22,1/4,28/14,-,0/4,-
2018,30/20,-,25/17,-,5/3,-
2017,27/27,2/6,21/16,0/1,4/4,-
2016,31/26,10/9,20/13,0/1,1/3,-
2015,20/17,3/6,15/9,2/2,-,-
2014,21/22,8/8,8/12,5/2,-,-
2013,31/21,11/7,20/12,0/2,-,-
2012,9/13,2/4,6/8,1/1,-,-
2011,26/14,6/4,20/10,-,-,-
2010,13/17,3/3,10/13,0/1,-,-
2009,17/13,4/4,13/9,-,-,-
2008,14/12,4/2,6/9,4/1,-,-
2007,22/11,-,22/11,-,-,-
2006,2/5,-,2/5,-,-,-
