Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,44/29,21/14,23/13,0/2,-,-
2024,20/13,18/12,2/1,-,-,-
2023,19/10,2/1,17/9,-,-,-
2022,2/2,-,2/2,-,-,-
2021,3/3,1/1,2/1,0/1,-,-
2019,0/1,-,-,0/1,-,-
