Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,454/313,180/119,168/95,100/83,6/15,0/1
2024,5/12,1/4,4/6,-,0/2,-
2023,32/22,14/5,13/10,2/3,3/4,-
2022,18/31,5/9,8/9,4/10,1/3,-
2021,37/20,9/6,23/9,4/3,1/2,-
2020,53/17,34/8,7/4,12/5,-,-
2019,34/28,17/13,7/3,10/12,-,-
2018,66/24,15/11,47/9,4/4,-,-
2017,20/18,2/6,13/8,5/4,-,-
2016,27/26,13/12,6/7,8/6,-,0/1
2015,30/30,5/7,9/11,15/9,1/3,-
2014,43/26,24/14,9/3,10/8,0/1,-
2013,49/23,22/6,13/8,14/9,-,-
2012,36/26,19/11,5/5,12/10,-,-
2011,4/6,0/3,4/3,-,-,-
2009,0/4,0/4,-,-,-,-
