Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,17/24,10/8,0/6,-,-,7/10
2024,5/3,5/3,-,-,-,-
2023,8/8,2/1,0/3,-,-,6/4
2022,4/11,3/4,0/1,-,-,1/6
2021,0/2,-,0/2,-,-,-
