Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M15 Tashkent 2 (Uzbekistan),hard,header
ITF MEN - SINGLES :  M15 Budapest (Hungary),hard,header
ITF MEN - SINGLES :  M25 Roehampton 3 (United Kingdom),hard,header
08.08.2023,Summers M.,0,4,3,,,,"['2', '3']",[],[],[],[],6.66
08.08.2023,Cox D.,2,6,6,,,,"['3', '1', '6', '4']","['2', '0']",[],[],[],1.10
ITF MEN - SINGLES :  M25 Roehampton (United Kingdom),grass,header
18.07.2023,Summers M.,0,1,4,,,,[],[],[],[],[],10.00
18.07.2023,Saville L.,2,6,6,,,,"['3', '1', '5', '1']","['3', '2']",[],[],[],1.03
ITF MEN - SINGLES :  M25 Nottingham 4 (United Kingdom),grass,header
11.07.2023,Summers M.,0,1,1,,,,[],[],[],[],[],7.41
11.07.2023,Broom C.,2,6,6,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.07
ITF MEN - SINGLES :  M15 Sharm ElSheikh 19 (Egypt),hard,header
