Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,60/41,-,55/35,1/4,4/2,-
2024,31/19,-,31/19,-,-,-
2023,18/13,-,13/8,1/3,4/2,-
2022,11/8,-,11/8,-,-,-
2016,0/1,-,-,0/1,-,-
