Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,470/364,138/114,88/86,222/148,22/16,-
2024,21/24,16/12,1/4,3/6,1/2,-
2023,37/33,6/8,8/12,18/9,5/4,-
2022,44/31,9/12,10/7,25/11,0/1,-
2021,25/23,3/6,7/4,11/10,4/3,-
2020,15/16,0/1,10/9,5/6,-,-
2019,46/25,6/7,7/5,27/10,6/3,-
2018,59/26,20/8,3/3,31/13,5/2,-
2017,27/33,8/13,0/2,19/18,-,-
2016,34/34,15/8,1/6,17/19,1/1,-
2015,45/27,10/6,4/7,31/14,-,-
2014,68/37,21/12,30/17,17/8,-,-
2013,26/23,16/8,4/7,6/8,-,-
2012,17/17,6/7,3/3,8/7,-,-
2011,3/11,1/5,-,2/6,-,-
2010,1/2,1/1,-,0/1,-,-
2009,2/2,-,-,2/2,-,-
