Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/39,-,37/31,0/1,-,14/7
2024,6/3,-,6/3,-,-,-
2023,16/8,-,13/6,-,-,3/2
2022,16/8,-,5/3,-,-,11/5
2021,7/13,-,7/13,-,-,-
2019,6/7,-,6/6,0/1,-,-
