Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/14,14/14,-,-,-,-
2024,13/12,13/12,-,-,-,-
2023,1/1,1/1,-,-,-,-
2022,0/1,0/1,-,-,-,-
