Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/18,2/1,20/13,3/1,-,7/3
2023,24/13,-,20/12,-,-,4/1
2022,6/3,-,-,3/1,-,3/2
2019,2/1,2/1,-,-,-,-
2018,0/1,-,0/1,-,-,-
