Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,52/25,8/7,44/18,-,-,-
2024,18/9,0/3,18/6,-,-,-
2023,28/15,6/4,22/11,-,-,-
2022,6/1,2/0,4/1,-,-,-
