Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,420/266,245/132,62/52,100/69,11/9,2/4
2024,33/20,14/10,13/8,6/1,0/1,-
2023,47/26,24/9,10/7,12/9,1/1,-
2022,29/23,15/11,3/5,10/6,1/1,-
2021,31/25,15/10,7/7,8/7,1/1,-
2020,13/13,6/5,5/4,2/3,-,0/1
2019,28/24,22/14,1/3,5/4,0/1,0/2
2018,41/20,33/12,2/4,6/4,-,-
2017,10/14,3/5,3/4,1/3,1/1,2/1
2016,56/25,28/8,12/7,9/9,7/1,-
2015,39/31,21/17,6/3,12/9,0/2,-
2014,36/19,22/12,-,14/7,-,-
2013,34/13,21/8,-,13/5,-,-
2012,23/13,21/11,-,2/2,-,-
