Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/24,-,8/12,1/8,0/2,6/2
2024,5/8,-,5/5,0/2,0/1,-
2023,8/6,-,2/2,0/2,-,6/2
2022,2/10,-,1/5,1/4,0/1,-
