Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,465/274,213/118,230/133,1/2,-,21/21
2024,44/23,18/14,21/6,-,-,5/3
2023,43/30,4/9,38/17,-,-,1/4
2022,38/35,13/8,25/23,-,-,0/4
2021,41/28,28/13,13/14,0/1,-,-
2020,28/11,-,25/10,-,-,3/1
2019,48/27,22/10,22/15,-,-,4/2
2018,51/27,42/21,8/4,-,-,1/2
2017,63/28,37/19,23/8,-,-,3/1
2016,51/30,32/16,16/11,1/1,-,2/2
2015,47/20,15/7,30/11,-,-,2/2
2014,9/11,2/1,7/10,-,-,-
2013,2/2,-,2/2,-,-,-
2012,0/2,-,0/2,-,-,-
