Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,572/412,481/271,68/92,18/33,0/13,5/3
2024,0/2,0/2,-,-,-,-
2023,22/24,22/21,0/3,-,-,-
2022,22/28,17/20,5/6,-,0/2,-
2021,29/24,29/13,0/7,0/3,0/1,-
2020,18/16,13/8,3/5,2/3,-,-
2019,34/27,27/15,6/7,1/3,0/2,-
2018,36/23,35/16,1/5,-,0/2,-
2017,35/16,31/13,4/3,-,-,-
2016,27/25,14/9,8/12,2/2,0/1,3/1
2015,37/26,32/13,2/6,1/4,0/1,2/2
2014,25/32,21/15,3/12,1/3,0/2,-
2013,45/23,41/16,2/4,2/2,0/1,-
2012,40/25,34/18,3/2,3/5,-,-
2011,31/33,23/24,3/2,5/6,0/1,-
2010,33/27,32/19,0/6,1/2,-,-
2009,61/22,46/17,15/5,-,-,-
2008,51/23,38/16,13/7,-,-,-
2007,24/15,24/15,-,-,-,-
2006,1/0,1/0,-,-,-,-
2005,1/1,1/1,-,-,-,-
