Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/57,40/26,30/15,16/16,-,-
2024,29/20,14/10,11/6,4/4,-,-
2023,26/9,6/3,17/4,3/2,-,-
2020,1/1,-,-,1/1,-,-
2019,1/4,1/3,-,0/1,-,-
2018,22/17,13/6,2/5,7/6,-,-
2017,2/2,1/1,-,1/1,-,-
2016,5/4,5/3,-,0/1,-,-
