Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/22,1/1,8/2,2/2,-,28/17
2024,22/5,-,8/2,2/2,-,12/1
2023,9/3,-,-,-,-,9/3
2022,8/14,1/1,-,-,-,7/13
