Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,112/98,10/12,98/82,0/1,4/3,-
2024,22/22,0/3,22/18,-,0/1,-
2023,37/28,0/1,33/24,0/1,4/2,-
2022,29/23,10/8,19/15,-,-,-
2021,13/6,-,13/6,-,-,-
2020,9/16,-,9/16,-,-,-
2018,2/3,-,2/3,-,-,-
