Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,67/58,22/25,43/27,2/6,-,-
2024,28/22,12/12,16/9,0/1,-,-
2023,35/30,8/10,27/18,0/2,-,-
2022,2/2,1/1,-,1/1,-,-
2021,1/3,0/1,-,1/2,-,-
2020,1/1,1/1,-,-,-,-
