Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,159/102,146/89,13/13,-,-,-
2024,34/21,34/21,-,-,-,-
2023,36/19,36/19,-,-,-,-
2022,34/28,33/26,1/2,-,-,-
2021,44/23,32/13,12/10,-,-,-
2020,8/6,8/5,0/1,-,-,-
2019,3/5,3/5,-,-,-,-
