Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,550/350,418/280,120/68,1/1,-,11/1
2024,24/22,17/19,7/3,-,-,-
2023,18/19,18/19,-,-,-,-
2022,50/22,36/19,3/2,-,-,11/1
2021,37/24,30/16,7/8,-,-,-
2020,14/7,4/2,10/5,-,-,-
2019,9/8,9/8,-,-,-,-
2018,32/24,27/19,5/5,-,-,-
2017,21/11,21/11,-,-,-,-
2016,19/20,14/19,5/1,-,-,-
2015,74/28,46/20,28/8,-,-,-
2014,39/25,36/23,3/2,-,-,-
2013,45/22,24/13,21/9,-,-,-
2012,51/25,41/19,10/6,-,-,-
2011,39/26,32/21,7/5,-,-,-
2010,40/25,31/18,9/7,-,-,-
2009,19/18,18/14,1/4,-,-,-
2008,15/15,10/11,4/3,1/1,-,-
2007,0/1,0/1,-,-,-,-
2006,4/7,4/7,-,-,-,-
2005,0/1,0/1,-,-,-,-
