Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,559/374,108/77,254/184,99/59,73/44,25/10
2024,1/10,0/2,1/7,0/1,-,-
2023,54/20,7/2,11/7,22/8,12/2,2/1
2022,26/20,-,10/8,10/8,6/4,-
2020,13/11,1/3,8/6,4/2,-,-
2019,27/26,2/4,10/14,8/4,7/3,0/1
2018,24/17,2/3,18/11,-,4/3,-
2017,27/24,3/6,12/10,8/5,3/3,1/0
2016,22/26,2/5,15/15,1/2,2/4,2/0
2015,31/23,4/4,23/11,0/4,3/4,1/0
2014,20/24,2/4,14/14,0/1,2/3,2/2
2013,27/28,2/6,11/13,9/5,4/3,1/1
2012,31/26,7/7,15/14,4/2,3/3,2/0
2011,31/19,8/5,13/10,2/1,5/2,3/1
2010,43/21,5/3,25/13,5/2,4/3,4/0
2009,57/23,10/3,27/12,8/2,10/4,2/2
2008,43/22,11/3,16/12,4/4,8/3,4/0
2007,39/15,4/4,21/4,13/5,-,1/2
2006,34/10,32/8,2/1,0/1,-,-
2005,5/3,4/2,1/1,-,-,-
2004,4/6,2/3,1/1,1/2,-,-
