Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,75/70,73/67,2/3,-,-,-
2024,30/26,30/26,-,-,-,-
2023,29/23,29/23,-,-,-,-
2022,12/16,12/14,0/2,-,-,-
2021,4/4,2/3,2/1,-,-,-
2018,0/1,0/1,-,-,-,-
