Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,149/94,135/82,14/12,-,-,-
2024,35/15,35/15,-,-,-,-
2023,15/13,15/13,-,-,-,-
2022,21/14,21/14,-,-,-,-
2021,48/26,39/19,9/7,-,-,-
2020,20/11,15/6,5/5,-,-,-
2019,7/11,7/11,-,-,-,-
2018,2/3,2/3,-,-,-,-
2017,1/1,1/1,-,-,-,-
