Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,357/221,77/53,130/82,119/55,26/24,5/7
2024,7/5,4/3,3/1,-,0/1,-
2023,0/1,-,-,0/1,-,-
2019,0/1,-,0/1,-,-,-
2018,19/7,-,11/4,8/3,-,-
2017,4/6,-,4/2,0/2,-,0/2
2016,20/12,2/2,15/8,3/1,0/1,-
2015,28/7,6/1,15/2,6/3,1/1,-
2014,15/9,1/1,3/7,10/0,1/1,-
2013,21/11,-,8/4,12/5,1/2,-
2012,10/14,2/3,6/6,2/1,0/1,0/3
2011,31/19,6/7,7/3,15/7,0/1,3/1
2010,31/22,13/5,11/11,3/4,4/2,-
2009,34/21,0/1,18/9,12/7,4/4,-
2008,15/19,0/7,0/4,12/5,3/3,-
2007,30/27,14/9,6/8,5/7,5/3,-
2006,32/21,10/8,12/7,3/4,5/1,2/1
2005,31/13,6/4,11/5,12/3,2/1,-
2004,29/4,13/1,-,16/2,0/1,-
2003,0/2,0/1,-,-,0/1,-
