Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,404/289,307/156,54/69,31/43,7/16,5/5
2024,14/18,12/10,2/5,-,0/2,0/1
2023,39/29,19/12,9/9,4/3,4/4,3/1
2022,29/28,13/11,9/8,5/5,1/3,1/1
2021,23/27,17/12,2/8,3/5,1/2,-
2020,25/16,22/9,2/5,1/2,-,-
2019,21/23,17/9,3/8,0/3,1/3,-
2018,30/26,25/13,2/6,2/5,0/1,1/1
2017,49/28,45/15,1/4,3/7,0/1,0/1
2016,40/28,37/19,1/4,2/5,-,-
2015,40/26,31/18,3/4,6/4,-,-
2014,55/20,44/15,10/4,1/1,-,-
2013,34/14,20/7,10/4,4/3,-,-
2012,5/5,5/5,-,-,-,-
2011,0/1,0/1,-,-,-,-
