Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,88/50,3/8,79/35,-,5/7,1/0
2024,22/25,3/6,15/15,-,3/4,1/0
2023,49/13,-,48/11,-,1/2,-
2022,4/8,0/2,3/5,-,1/1,-
2021,12/2,-,12/2,-,-,-
2020,1/2,-,1/2,-,-,-
