Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.11.2023,Pucinelli de Almeida M.,2,,,,,,2,2,78%,69% (34/49),36% (5/14),83% (5/6),39% (14/36),71% (17/24),56% (5/9),62% (39/63),52% (31/60),57% (70/123),88% (7/8),56% (5/9),71% (12/17),"['2', '1', '5', '2']","['1', '0', '4', '1', '6', '3']",[],[],[],1.12
05.11.2023,Panta J.,0,,,,,,0,3,60%,61% (22/36),29% (7/24),44% (4/9),31% (15/49),64% (9/14),17% (1/6),48% (29/60),38% (24/63),43% (53/123),44% (4/9),13% (1/8),29% (5/17),[],"['2', '4']",[],[],[],5.60
24.09.2023,Soto M.,2,,,,,,15,5,60%,82% (40/49),41% (13/32),50% (1/2),24% (11/46),61% (17/28),25% (2/8),65% (54/83),38% (28/74),52% (82/157),91% (10/11),20% (2/10),57% (12/21),[],"['3', '1', '5', '1']",[],[],[],1.41
24.09.2023,Panta J.,0,,,,,,10,1,62%,76% (35/46),39% (11/28),75% (6/8),18% (9/49),59% (19/32),50% (1/2),62% (46/74),35% (29/83),48% (75/157),80% (8/10),9% (1/11),43% (9/21),[],"['2', '5']",[],[],[],2.79
11.09.2023,Villanueva G.,2,,,,,,0,3,64%,71% (27/38),52% (11/21),88% (7/8),39% (11/28),65% (20/31),83% (5/6),64% (38/59),53% (31/59),58% (69/118),88% (7/8),56% (5/9),71% (12/17),"['2', '1', '4', '1']","['1', '2', '4', '3', '6', '3']",[],[],[],1.19
11.09.2023,Panta J.,0,,,,,,2,1,47%,61% (17/28),35% (11/31),17% (1/6),29% (11/38),48% (10/21),13% (1/8),47% (28/59),36% (21/59),42% (49/118),44% (4/9),13% (1/8),29% (5/17),[],"['2', '0']",[],[],[],4.36
10.09.2023,Panta J.,2,,,,,,3,0,63%,84% (26/31),50% (9/18),100% (6/6),38% (9/24),67% (14/21),44% (4/9),71% (35/49),51% (23/45),62% (58/94),100% (8/8),57% (4/7),80% (12/15),"['2', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],-
10.09.2023,Ticona J.,0,,,,,,1,1,53%,63% (15/24),33% (7/21),56% (5/9),16% (5/31),50% (9/18),0% (0/6),49% (22/45),29% (14/49),38% (36/94),43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],-
21.08.2023,Lama G.,2,,,,,,7,2,65%,62% (45/73),51% (20/39),55% (6/11),38% (35/92),63% (26/41),37% (7/19),58% (65/112),45% (60/132),52% (126/244),71% (12/17),41% (7/17),56% (19/34),"['2', '2', '5', '5']","['1', '0', '2', '1', '5', '4']","['4', '5', '6', '5']",[],[],1.26
21.08.2023,Panta J.,1,,,,,,3,2,69%,62% (57/92),37% (15/41),63% (12/19),38% (28/73),49% (19/39),45% (5/11),55% (72/132),42% (47/112),49% (119/244),59% (10/17),29% (5/17),44% (15/34),"['1', '0', '4', '3']","['1', '1', '4', '4']","['2', '0']",[],[],3.63
08.08.2023,Coria F.,2,,,,,,5,2,63%,83% (25/30),44% (8/18),75% (3/4),54% (15/28),62% (18/29),38% (5/13),69% (33/48),58% (33/57),63% (66/105),88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['2', '2', '5', '3']",[],[],[],1.06
08.08.2023,Panta J.,0,,,,,,2,1,49%,46% (13/28),38% (11/29),62% (8/13),17% (5/30),56% (10/18),25% (1/4),42% (24/57),31% (15/48),37% (39/105),29% (2/7),13% (1/8),20% (3/15),[],"['2', '1']",[],[],[],10.50
08.08.2023,Panta J.,2,,,,,,12,5,49%,80% (32/40),46% (19/41),40% (2/5),46% (22/48),56% (14/25),75% (6/8),63% (51/81),49% (36/73),56% (87/154),77% (10/13),50% (6/12),64% (16/25),"['1', '1', '3', '3']","['2', '0', '5', '1']","['1', '0', '4', '1']",[],[],1.34
08.08.2023,Ogura K.,1,,,,,,1,6,66%,54% (26/48),44% (11/25),25% (2/8),20% (8/40),54% (22/41),60% (3/5),51% (37/73),37% (30/81),44% (67/154),50% (6/12),23% (3/13),36% (9/25),"['1', '0', '3', '2', '5', '4']",[],[],[],[],3.12
30.07.2023,Mansouri S.,2,,,,,,8,1,60%,89% (25/28),68% (13/19),0% (0/0),42% (13/31),52% (12/23),50% (3/6),35,12,75% (9/12),81% (38/47),46% (25/54),62% (63/101),100% (9/9),33% (3/9),67% (12/18),"['5', '4']","['2', '1', '4', '1']",[],[],[],1.13
