Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/21,0/4,16/17,-,-,-
2024,7/10,0/1,7/9,-,-,-
2023,7/10,0/3,7/7,-,-,-
2022,2/1,-,2/1,-,-,-
